input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,real_input,pred_input
12,1,0.0273449569940567,1.632987141609192,0.5340259075164795,0.017365582287311554,1.0147449970245361,0.2642536759376526,0.0007028579711914062,0.0011606216430664062,0.000976602197624743,"[-0.676464319229126, 0.6778258085250854, 0.23950964212417603]","[-1.767478585243225, -0.2677946388721466, -0.22562167048454285, 1.4697680473327637]"
12,2,0.011380985379219055,1.1120907068252563,0.37057849764823914,0.002438068389892578,0.718556821346283,0.16503798961639404,0.0006817281246185303,0.001191854476928711,0.0009746451978571713,"[-0.676464319229126, 0.6778258085250854, 0.23950964212417603]","[-1.1605250835418701, 0.12337598204612732, -0.04052445665001869, 1.215774416923523]"
12,3,0.008209407329559326,1.2489174604415894,0.41178837418556213,0.005763918161392212,0.7978678345680237,0.1873527318239212,0.0007150471210479736,0.0011653900146484375,0.0009781619301065803,"[-0.676464319229126, 0.6778258085250854, 0.23950964212417603]","[-1.3261016607284546, 0.02651222236454487, -0.03912720829248428, 1.2527422904968262]"
13,1,0.005395859479904175,1.8027572631835938,0.6180592775344849,0.020357266068458557,1.06269371509552,0.28380873799324036,0.0008865594863891602,0.001128077507019043,0.0009924968471750617,"[-1.895425796508789, 1.1953386068344116, 1.0329500436782837]","[-1.2928131818771362, -0.8085604310035706, 0.029246600344777107, 1.3291139602661133]"
13,2,0.003603696823120117,0.2279742956161499,0.08792737871408463,0.000675499439239502,0.1397308111190796,0.04005693271756172,0.0038063526153564453,0.005088329315185547,0.004411617759615183,"[-1.895425796508789, 1.1953386068344116, 1.0329500436782837]","[0.8986606001853943, -0.04125837981700897, 0.7560073733329773, 0.25757792592048645]"
13,3,0.019775688648223877,1.2551909685134888,0.5405023694038391,0.005002856254577637,0.8187644481658936,0.2329154908657074,0.0007953643798828125,0.0012121200561523438,0.0009800592670217156,"[-1.895425796508789, 1.1953386068344116, 1.0329500436782837]","[-0.4414204955101013, -0.47032925486564636, 1.706520438194275, -0.1568513959646225]"
14,1,0.0030208826065063477,1.4378769397735596,0.4729973375797272,0.011803627014160156,0.5786944627761841,0.22657817602157593,0.01322484016418457,0.02243971824645996,0.019123634323477745,"[3.462923765182495, -1.4790507555007935, -3.010220766067505]","[-2.020517110824585, 0.5037180185317993, -1.169158697128296, -0.8366701006889343]"
14,2,0.016525745391845703,0.9042668342590332,0.29147228598594666,0.004946291446685791,0.2740492820739746,0.1255863755941391,0.0006129741668701172,0.0011527538299560547,0.0009671052102930844,"[3.462923765182495, -1.4790507555007935, -3.010220766067505]","[-1.271543264389038, 0.8803420066833496, -1.8802932500839233, -0.7080225348472595]"
14,3,0.007759898900985718,1.7476564645767212,0.5434755086898804,0.008851513266563416,0.6309350728988647,0.26054447889328003,0.0027649402618408203,0.0036058425903320312,0.0032570362091064453,"[3.462923765182495, -1.4790507555007935, -3.010220766067505]","[-2.329195261001587, 0.3009741008281708, -1.389611005783081, -0.5384916663169861]"
15,1,0.0015510320663452148,0.5690159797668457,0.20020173490047455,0.0015203356742858887,0.3551134467124939,0.11105728149414062,0.004746913909912109,0.013098716735839844,0.0094362897798419,"[3.2553021907806396, -1.3286935091018677, -2.898310661315918]","[-0.21634265780448914, 2.092458963394165, -1.3304646015167236, -0.9222131967544556]"
15,2,0.0004831552505493164,0.029480934143066406,0.010453129187226295,0.0005699992179870605,0.013506174087524414,0.005383230280131102,0.0005674362182617188,0.0012443065643310547,0.0009574095602147281,"[3.2553021907806396, -1.3286935091018677, -2.898310661315918]","[-0.4995327889919281, 1.4083701372146606, -1.2574639320373535, -1.3468929529190063]"
15,3,0.0035927295684814453,0.5261147618293762,0.1734827160835266,0.004350423812866211,0.16572296619415283,0.0705469623208046,0.0023331642150878906,0.0039206743240356445,0.003333449363708496,"[3.2553021907806396, -1.3286935091018677, -2.898310661315918]","[-0.9656525254249573, 0.8507267236709595, -1.5579415559768677, -1.058688759803772]"
16,1,0.012582451105117798,1.3785905838012695,0.586580753326416,0.005825817584991455,0.717936635017395,0.23884305357933044,0.0009300708770751953,0.0010442733764648438,0.0009933114051818848,"[-1.8265044689178467, 2.277704954147339, -0.39723485708236694]","[1.5069091320037842, -0.6568197011947632, -0.9149774312973022, -0.013064345344901085]"
16,2,0.00391387939453125,0.9961286187171936,0.4460611939430237,0.0034546852111816406,0.55344158411026,0.1814061403274536,0.0009620189666748047,0.0010160207748413086,0.000997742055915296,"[-1.8265044689178467, 2.277704954147339, -0.39723485708236694]","[0.9035631418228149, -0.9340802431106567, -0.925930380821228, 0.191940575838089]"
16,3,0.023896411061286926,1.4361385107040405,0.5119838118553162,0.007163941860198975,0.6394811272621155,0.23081029951572418,0.0009548664093017578,0.001042485237121582,0.0009975036373361945,"[-1.8265044689178467, 2.277704954147339, -0.39723485708236694]","[1.2716785669326782, -0.8183659315109253, 0.9515462517738342, -1.5958068370819092]"
17,1,0.0002740025520324707,0.0243491530418396,0.008663871325552464,0.0007000267505645752,0.013965487480163574,0.004418609198182821,0.0004999637603759766,0.0013289451599121094,0.0009264945983886719,"[-2.3501908779144287, 1.2836723327636719, 1.3928087949752808]","[0.5796977877616882, -0.5875022411346436, 0.8107843399047852, 0.4064536988735199]"
17,2,0.0035007596015930176,1.0177819728851318,0.35653236508369446,0.0020599961280822754,0.5645654201507568,0.17542099952697754,2.6226043701171875e-05,0.0015560388565063477,0.0007696549291722476,"[-2.3501908779144287, 1.2836723327636719, 1.3928087949752808]","[1.7524960041046143, 0.039314866065979004, 1.5552974939346313, -0.4200800061225891]"
17,3,0.0020508170127868652,0.27760112285614014,0.09566108137369156,0.0006293058395385742,0.15832221508026123,0.05039224773645401,0.0008566379547119141,0.0011200904846191406,0.0009904702892526984,"[-2.3501908779144287, 1.2836723327636719, 1.3928087949752808]","[0.9587554931640625, -0.4409664273262024, 0.9284301400184631, 0.25041744112968445]"
18,1,0.0027787089347839355,0.26834577322006226,0.10520842671394348,0.0032072067260742188,0.16104832291603088,0.0506851002573967,0.0008404254913330078,0.001148223876953125,0.0009888013591989875,"[-2.1536812782287598, 0.6559852361679077, 2.015781879425049]","[0.7341532707214355, 0.11264758557081223, 0.6673683524131775, 1.1292623281478882]"
18,2,0.00012755393981933594,0.2180272340774536,0.08463171124458313,0.0034830570220947266,0.1278296262025833,0.040963053703308105,0.0008420944213867188,0.0011269450187683105,0.0009908477077260613,"[-2.1536812782287598, 0.6559852361679077, 2.015781879425049]","[0.7406603097915649, 0.11242896318435669, 0.735858678817749, 1.0680204629898071]"
18,3,0.0016396045684814453,0.843104898929596,0.30328211188316345,0.004736423492431641,0.4995724558830261,0.14201459288597107,0.00079345703125,0.0012156367301940918,0.0009815493831411004,"[-2.1536812782287598, 0.6559852361679077, 2.015781879425049]","[-0.38172075152397156, -0.16255278885364532, 0.5911268591880798, 1.5080703496932983]"
19,1,0.009420633316040039,1.4511399269104004,0.48914581537246704,0.0003370046615600586,0.8509218692779541,0.23418833315372467,0.000942528247833252,0.0012021064758300781,0.0010595520725473762,"[-1.858129858970642, 1.4306803941726685, 0.6674646139144897]","[-0.9103717803955078, -0.95903480052948, -0.23792126774787903, 1.023026466369629]"
19,2,0.01211458444595337,0.46981319785118103,0.18020185828208923,0.0008217096328735352,0.2539720833301544,0.08332161605358124,0.0030496716499328613,0.003934144973754883,0.0034866929054260254,"[-1.858129858970642, 1.4306803941726685, 0.6674646139144897]","[0.31929776072502136, -0.4487147629261017, 0.4926407039165497, 0.2921644151210785]"
19,3,0.001048952341079712,0.24103307723999023,0.09470494091510773,0.002996772527694702,0.15771305561065674,0.0467686802148819,0.0028914809226989746,0.0038317441940307617,0.0033629536628723145,"[-1.858129858970642, 1.4306803941726685, 0.6674646139144897]","[1.140019416809082, -0.027662266045808792, 0.13254272937774658, 0.4763641357421875]"
20,1,0.00539553165435791,0.5818017721176147,0.2001611292362213,0.001589495688676834,0.42109599709510803,0.09870655834674835,0.0030777454376220703,0.006266593933105469,0.004445552825927734,"[-2.6301324367523193, 0.12553554773330688, 3.4675915241241455]","[1.1547303199768066, 0.6936150193214417, 0.8849943280220032, 2.2367987632751465]"
20,2,0.0028589963912963867,0.7221088409423828,0.22124509513378143,0.0074672698974609375,0.5133910179138184,0.10541757941246033,0.0014886856079101562,0.0033314526081085205,0.0022174615878611803,"[-2.6301324367523193, 0.12553554773330688, 3.4675915241241455]","[0.9353151321411133, 0.5358138680458069, 1.282610535621643, 1.9908329248428345]"
20,3,0.015290260314941406,1.036865472793579,0.40144699811935425,0.006958063691854477,0.5806915163993835,0.2091604322195053,0.0006923675537109375,0.0012683868408203125,0.0009705225820653141,"[-2.6301324367523193, 0.12553554773330688, 3.4675915241241455]","[1.0749881267547607, 0.7540163993835449, 0.12593065202236176, 2.9057509899139404]"
