layer_name,data_index,count_Model_1,count_Model_2,total_neurons_Model_1,total_neurons_Model_2,percentage_active_Model_1,percentage_active_Model_2,mean_Model_1,mean_Model_2,sum_Model_1,sum_Model_2,max_Model_1,max_Model_2,min_Model_1,min_Model_2,image_index
classifier 17-relu,103,98,79,512,512,19.140625,15.4296875,1.610653042793274,2.799513339996338,157.843994140625,221.1615447998047,5.629078388214111,6.134466648101807,0.014634151011705399,0.000746333971619606,103
classifier 20-sigmoid,103,1,1,1,1,100.0,100.0,0.9365397691726685,0.9993207454681396,0.9365397691726685,0.9993207454681396,0.9365397691726685,0.9993207454681396,0.9365397691726685,0.9993207454681396,103
features 3-relu,104,170512,167602,1605632,1605632,10.61961894132653,10.43838189572704,0.09789734333753586,0.07024111598730087,16692.671875,11772.5517578125,1.0137114524841309,0.9217249155044556,6.933019562893605e-07,3.9648176652917755e-07,104
features 7-relu,104,57001,193731,802816,802816,7.100132533482142,24.131432358099488,0.07706307619810104,0.0507754422724247,4392.67236328125,9836.77734375,1.3911970853805542,0.6910862326622009,7.166542359549055e-10,1.1491457030388119e-07,104
features 11-relu,104,9320,7176,401408,401408,2.321827168367347,1.7877072704081634,0.07946808636188507,0.05444606393575668,740.642578125,390.7049560546875,1.4071451425552368,0.7690001726150513,2.20899960368115e-06,4.049838025821373e-06,104
classifier 17-relu,104,29,47,512,512,5.6640625,9.1796875,1.869498372077942,0.5489540100097656,54.2154541015625,25.800838470458984,5.633399963378906,1.8268100023269653,0.18233783543109894,0.0018505435436964035,104
classifier 20-sigmoid,104,1,1,1,1,100.0,100.0,0.6374106407165527,0.6742756366729736,0.6374106407165527,0.6742756366729736,0.6374106407165527,0.6742756366729736,0.6374106407165527,0.6742756366729736,104
features 3-relu,105,131016,140520,1605632,1605632,8.159777582908163,8.751694036989797,0.12358161062002182,0.09009105712175369,16191.16796875,12659.595703125,1.0044728517532349,0.8072272539138794,6.10013614732452e-07,1.4874642317863618e-07,105
features 7-relu,105,87476,164411,802816,802816,10.89614556760204,20.479287906568878,0.07897322624921799,0.04416057467460632,6908.26220703125,7260.484375,1.5775028467178345,0.975776731967926,1.0059588362310024e-07,6.100408000975222e-08,105
features 11-relu,105,8346,13154,401408,401408,2.079181281887755,3.2769650829081636,0.1687185913324356,0.07282161712646484,1408.1253662109375,957.8955078125,1.8040724992752075,0.8364765048027039,6.288868007686688e-06,2.1472944808920147e-06,105
