input_id,epsilon,data_type,rank,neuron_idx,value,token_idx
1,0.1,softmax_original,8,,0.0031993191223591,385.0
1,0.1,softmax_original,9,,0.0028357347473502,451.0
1,0.1,softmax_original,10,,0.0023090422619134,4257.0
1,0.1,softmax_original,11,,0.0015729191945865,903.0
1,0.1,softmax_original,12,,0.0012975204735994,22444.0
1,0.1,softmax_original,13,,0.0012589114485308,884.0
1,0.1,softmax_original,14,,0.0012528068618848,1459.0
1,0.1,softmax_original,15,,0.0011857650242745,697.0
1,0.1,softmax_original,16,,0.0011459721717983,2869.0
1,0.1,softmax_original,17,,0.001096200547181,2177.0
1,0.1,softmax_original,18,,0.0007470058044418,24046.0
1,0.1,softmax_original,19,,0.0007197310915216,29901.0
1,0.1,softmax_original,20,,0.0005827753921039,6200.0
1,0.1,softmax_final,1,,0.3315927386283874,263.0
1,0.1,softmax_final,2,,0.3311291337013244,3681.0
1,0.1,softmax_final,3,,0.047940969467163,2998.0
1,0.1,softmax_final,4,,0.0302106551826,5982.0
1,0.1,softmax_final,5,,0.0294873919337987,278.0
1,0.1,softmax_final,6,,0.0254423711448907,2000.0
1,0.1,softmax_final,7,,0.02127574570477,385.0
1,0.1,softmax_final,8,,0.018344547599554,856.0
1,0.1,softmax_final,9,,0.0152981784194707,451.0
1,0.1,softmax_final,10,,0.0096946125850081,4257.0
1,0.1,softmax_final,11,,0.0069657270796597,903.0
1,0.1,softmax_final,12,,0.0064006876200437,697.0
1,0.1,softmax_final,13,,0.0063920738175511,884.0
1,0.1,softmax_final,14,,0.0050882659852504,22444.0
1,0.1,softmax_final,15,,0.0049282698892056,2869.0
1,0.1,softmax_final,16,,0.0039823888801038,29901.0
1,0.1,softmax_final,17,,0.0036419378593564,1459.0
1,0.1,softmax_final,18,,0.0029231184162199,29892.0
1,0.1,softmax_final,19,,0.0027627693489193,24046.0
1,0.1,softmax_final,20,,0.0024255793541669,13.0
2,0.1,z_original,1,1360.0,-17.75,
2,0.1,z_original,2,3241.0,16.859375,
2,0.1,z_original,3,2660.0,-14.5,
2,0.1,z_original,4,3684.0,-10.6796875,
2,0.1,z_original,5,1176.0,-9.9375,
2,0.1,z_original,6,3830.0,9.84375,
2,0.1,z_original,7,269.0,9.515625,
2,0.1,z_original,8,1314.0,8.328125,
2,0.1,z_original,9,2021.0,-8.171875,
2,0.1,z_original,10,3971.0,8.1640625,
2,0.1,z_original,11,486.0,-8.1328125,
2,0.1,z_original,12,392.0,7.96875,
2,0.1,z_original,13,2084.0,-7.91015625,
2,0.1,z_original,14,2184.0,-7.859375,
2,0.1,z_original,15,3556.0,-7.83203125,
2,0.1,z_original,16,2358.0,7.80859375,
2,0.1,z_original,17,2281.0,-7.7734375,
2,0.1,z_original,18,2604.0,-7.6953125,
2,0.1,z_original,19,1839.0,-7.5078125,
2,0.1,z_original,20,1888.0,-7.32421875,
2,0.1,z_final,1,1360.0,-17.850000381469727,
2,0.1,z_final,2,3241.0,16.959375381469727,
2,0.1,z_final,3,2660.0,-14.600000381469728,
2,0.1,z_final,4,3684.0,-10.779687881469728,
2,0.1,z_final,5,1176.0,-9.9375,
2,0.1,z_final,6,3830.0,9.84375,
2,0.1,z_final,7,269.0,9.415624618530272,
2,0.1,z_final,8,1314.0,8.328125,
2,0.1,z_final,9,2021.0,-8.271875381469727,
2,0.1,z_final,10,3971.0,8.264062881469727,
2,0.1,z_final,11,392.0,8.068750381469727,
2,0.1,z_final,12,486.0,-8.032812118530273,
2,0.1,z_final,13,2184.0,-7.959374904632568,
2,0.1,z_final,14,3556.0,-7.932031154632568,
2,0.1,z_final,15,2084.0,-7.810156345367432,
2,0.1,z_final,16,2604.0,-7.795312404632568,
2,0.1,z_final,17,2281.0,-7.7734375,
2,0.1,z_final,18,2358.0,7.708593845367432,
2,0.1,z_final,19,1839.0,-7.607812404632568,
2,0.1,z_final,20,1888.0,-7.32421875,
2,0.1,softmax_original,1,,0.9200286865234376,278.0
2,0.1,softmax_original,2,,0.0289103519171476,451.0
2,0.1,softmax_original,3,,0.0154372164979577,263.0
2,0.1,softmax_original,4,,0.0028025298379361,856.0
2,0.1,softmax_original,5,,0.0025782042648643,385.0
2,0.1,softmax_original,6,,0.002198300557211,29892.0
2,0.1,softmax_original,7,,0.0016063336515799,5642.0
2,0.1,softmax_original,8,,0.0015869259368628,2000.0
2,0.1,softmax_original,9,,0.0015443923184648,2869.0
2,0.1,softmax_original,10,,0.0014895653584972,884.0
2,0.1,softmax_original,11,,0.0012386885937303,29901.0
