sample_idx,reconstruction_idx,fc1_min_abs_diff,fc1_mean_abs_diff,fc1_max_abs_diff,fc2_min_abs_diff,fc2_mean_abs_diff,fc2_max_abs_diff,fc3_min_abs_diff,fc3_mean_abs_diff,fc3_max_abs_diff,all_layers_max_diff,all_layers_min_of_max
11,4,0.005685180425643921,0.2796069085597992,0.9291137456893921,0.00042128562927246094,0.11889611184597015,0.2909923195838928,0.024259082973003387,0.06445171684026718,0.09808975458145142,0.9291137456893921,0.09808975458145142
12,0,0.0020078569650650024,0.1811743676662445,0.5187271237373352,0.010527461767196655,0.08892878890037537,0.2772599458694458,0.03379535675048828,0.04177771136164665,0.049404680728912354,0.5187271237373352,0.049404680728912354
12,1,0.005524694919586182,0.14417655766010284,0.41482651233673096,9.369850158691406e-05,0.0556776337325573,0.14791762828826904,0.015383720397949219,0.025237759575247765,0.03810340166091919,0.41482651233673096,0.03810340166091919
12,2,0.0034406185150146484,0.3542795181274414,0.9000348448753357,0.0015988349914550781,0.15955200791358948,0.4212523102760315,0.058748722076416016,0.08960717916488647,0.12677735090255737,0.9000348448753357,0.12677735090255737
12,3,0.018780499696731567,0.5791497230529785,2.102306604385376,0.007662475109100342,0.22759753465652466,0.6090738773345947,0.02410578727722168,0.032812196761369705,0.04716449975967407,2.102306604385376,0.04716449975967407
12,4,0.031052231788635254,0.5343450307846069,1.483107566833496,0.014850139617919922,0.2132103145122528,0.6518869996070862,0.04245471954345703,0.08074629306793213,0.14114737510681152,1.483107566833496,0.14114737510681152
13,0,0.016315370798110962,0.42230650782585144,1.3822685480117798,0.014384269714355469,0.23197710514068604,0.5433992743492126,0.02742600440979004,0.046249549835920334,0.06099438667297363,1.3822685480117798,0.06099438667297363
13,1,0.011483490467071533,0.706932544708252,2.058945655822754,0.0450233519077301,0.40767183899879456,1.1454037427902222,0.029844284057617188,0.044414639472961426,0.05641067028045654,2.058945655822754,0.05641067028045654
13,2,0.011774301528930664,0.31467437744140625,0.9309889674186707,0.022519975900650024,0.2099723070859909,0.5439053177833557,0.07526779174804688,0.1006273403763771,0.11550474166870117,0.9309889674186707,0.11550474166870117
13,3,0.010853052139282227,0.4181644320487976,1.4727609157562256,0.0012766122817993164,0.20031225681304932,0.6407816410064697,0.056809425354003906,0.0627288818359375,0.06644654273986816,1.4727609157562256,0.06644654273986816
13,4,0.00831913948059082,0.36018234491348267,1.1362122297286987,0.010163605213165283,0.18598073720932007,0.4658524692058563,0.008506298065185547,0.021697917953133583,0.04631805419921875,1.1362122297286987,0.04631805419921875
14,0,0.0036995410919189453,0.5427441596984863,1.7607836723327637,0.013294816017150879,0.30479028820991516,0.7868177890777588,0.0056226253509521484,0.03600931167602539,0.07324576377868652,1.7607836723327637,0.07324576377868652
14,1,0.0010120868682861328,0.37440595030784607,0.9420243501663208,0.002165675163269043,0.16725406050682068,0.4461919665336609,0.03278517723083496,0.06520303338766098,0.09109616279602051,0.9420243501663208,0.09109616279602051
14,2,0.002072662115097046,0.41829392313957214,1.41556715965271,0.005909442901611328,0.22684217989444733,0.49692702293395996,0.045810699462890625,0.08372505754232407,0.10385751724243164,1.41556715965271,0.10385751724243164
14,3,0.006115049123764038,0.24311640858650208,0.7113016843795776,0.0035164952278137207,0.10712388902902603,0.3367452025413513,0.014194607734680176,0.02737382985651493,0.034235239028930664,0.7113016843795776,0.034235239028930664
14,4,0.0031546056270599365,0.24122881889343262,0.755884051322937,0.00581669807434082,0.09545859694480896,0.24220681190490723,0.009875059127807617,0.017080387100577354,0.02272200584411621,0.755884051322937,0.02272200584411621
15,0,0.0020498037338256836,0.6964554786682129,2.5792298316955566,0.0024940073490142822,0.23114895820617676,0.7555793523788452,0.014339208602905273,0.022644758224487305,0.03776097297668457,2.5792298316955566,0.03776097297668457
15,1,0.0005531907081604004,0.26063376665115356,0.7355142831802368,0.01873910427093506,0.1332721710205078,0.34230363368988037,0.00623774528503418,0.07337900251150131,0.150030255317688,0.7355142831802368,0.150030255317688
15,2,0.00453612208366394,0.23436149954795837,0.72211754322052,0.0025304555892944336,0.11089887470006943,0.3134862184524536,0.05185365676879883,0.08018871396780014,0.09812891483306885,0.72211754322052,0.09812891483306885
15,3,0.022641122341156006,0.32411932945251465,0.8926302790641785,0.007927894592285156,0.16584530472755432,0.394771933555603,0.039359092712402344,0.07300170511007309,0.1078653335571289,0.8926302790641785,0.1078653335571289
15,4,0.0021288394927978516,0.8639166355133057,2.7039237022399902,0.008493639528751373,0.23492306470870972,0.5206379890441895,0.017405271530151367,0.029769262298941612,0.050110816955566406,2.7039237022399902,0.050110816955566406
